User ID,Game ID,Hours Played
151603712,3067,273.0
151603712,1162,87.0
151603712,2813,14.9
151603712,1163,12.1
151603712,1733,8.9
151603712,1535,8.5
151603712,2197,8.1
151603712,2251,7.5
151603712,1732,3.3
151603712,2994,2.8
151603712,3247,2.5
151603712,3024,2.0
151603712,783,1.4
151603712,348,1.3
151603712,934,1.3
151603712,1161,0.8
151603712,2535,0.8
151603712,1372,0.6
151603712,2401,0.5
151603712,1863,0.5
151603712,1025,0.5
151603712,922,0.5
151603712,346,0.5
151603712,2482,0.4
151603712,1313,0.1
151603712,1619,0.1
187131847,922,2.3
59945701,3327,238.0
59945701,1127,84.0
59945701,3067,58.0
59945701,2691,22.0
59945701,1700,13.8
59945701,641,10.2
59945701,27,7.8
59945701,895,7.0
59945701,1124,5.2
59945701,2132,4.8
59945701,1657,3.4
59945701,636,3.2
59945701,292,2.8
59945701,3334,2.6
59945701,673,2.3
59945701,2131,0.7
59945701,2962,0.6
59945701,1292,0.5
59945701,2717,0.4
59945701,225,0.3
59945701,640,0.1
59945701,2994,0.1
53875128,1374,86.0
53875128,1587,72.0
53875128,1733,71.0
53875128,1808,59.0
53875128,2530,54.0
53875128,2528,50.0
53875128,2556,35.0
53875128,1170,35.0
53875128,2529,35.0
53875128,2488,34.0
53875128,225,33.0
53875128,1172,32.0
53875128,2308,25.0
53875128,2778,24.0
53875128,989,23.0
53875128,1634,23.0
53875128,1935,23.0
53875128,1825,22.0
53875128,2259,21.0
53875128,850,21.0
53875128,1914,19.6
53875128,2371,18.5
53875128,851,18.3
53875128,297,16.9
53875128,3305,14.3
53875128,538,13.7
53875128,984,13.4
53875128,1103,12.5
53875128,2767,12.2
53875128,2727,11.5
53875128,3453,11.2
53875128,2554,11.1
53875128,777,11.0
53875128,1444,10.2
53875128,2405,10.1
53875128,2686,9.8
53875128,3160,9.8
53875128,865,9.7
53875128,1137,9.7
53875128,292,9.6
53875128,92,9.0
53875128,295,8.9
53875128,1419,8.6
